time,mnvel,errvel,tel
2459268.174165,2.5321771603218504,1.5569361448288,j
2459269.1670689997,-2.73916746520469,1.6601768732070903,j
2459271.898684,11.6678968292857,4.8889913558960005,apf
2459272.910919,42.6534729116622,11.424446105957001,apf
2459274.876947,14.761916751827199,4.57316589355469,apf
2459295.977808,0.486072263188234,4.0182609558105495,apf
2459296.16562,0.229853560401708,1.77436208724976,j
2459297.165986,0.860224847837614,1.7345842123031598,j
2459300.084116,-1.3306541623710801,1.65477979183197,j
2459300.878046,13.4274972377493,3.8061132431030296,apf
2459301.817655,-5.473402202875549,4.4845890998840305,apf
2459302.155069,-7.62907880868629,2.3847963809967,j
2459302.881633,-5.0031891231064405,3.5537793636322004,apf
2459314.152376,0.5630191784360079,1.6049780845642099,j
2459314.891494,10.4558011875638,5.597143650054929,apf
2459315.79305,6.31159653381317,3.97834086418152,apf
2459316.773452,0.22894843996695605,4.26402044296265,apf
2459319.8013830003,3.87392217252034,3.78146290779114,apf
2459320.801991,2.60188105003012,3.62195253372192,apf
2459321.78342,13.881443473020502,4.55419540405273,apf
2459322.903684,19.8529588051434,3.6576874256133998,apf
2459323.812898,19.771024040257302,4.28056001663208,apf
2459324.842613,10.581686573110199,3.93901920318604,apf
2459326.8628040003,13.894454508232501,3.7179372310638397,apf
2459327.779596,18.1407189503917,4.390916824340819,apf
2459331.932388,13.470375947495501,4.01048183441162,apf
2459332.7954240004,9.53780091970958,3.73432469367981,apf
2459333.773939,8.818733761457858,3.35258150100708,apf
2459334.767453,0.488666977956733,4.644647121429441,apf
2459336.836228,-3.4683430896248995,5.74798727035522,apf
2459337.777528,4.93802663440432,4.09184551239014,apf
2459338.8590849997,7.26117437317919,3.51390528678894,apf
2459339.805498,5.29987922808957,3.6895577907562296,apf
2459340.766923,13.3695212996417,3.8801007270813,apf
2459341.805282,-1.4812414869276203,5.07633495330811,apf
2459342.911766,22.150472398614998,4.4854736328125,apf
2459343.813569,8.235661515985768,3.8414878845214804,apf
2459344.759631,7.80924214046281,3.5948519706726096,apf
2459345.811007,10.8315244593062,3.61082077026367,apf
2459346.819002,3.49769672836593,3.60297679901123,apf
2459347.863686,0.9694108637743271,3.4358305931091295,apf
2459348.781781,10.5218393907497,3.6910979747772203,apf
2459349.7840779996,13.965295544307802,5.34307050704956,apf
2459350.7576470003,6.11293857538437,4.6615705490112305,apf
2459351.8194110002,8.35917597344081,3.7538211345672594,apf
2459352.786301,8.149196615414949,4.84076261520386,apf
2459353.82069,11.4562934261044,4.3328714370727495,apf
2459353.892821,0.17216264191468897,1.8103777170181299,j
2459354.7329240004,-31.589668473832504,26.7971000671387,apf
2459355.874951,19.7558454868377,5.2473244667053205,apf
2459363.8645220003,11.6070702922805,4.03343677520752,apf
2459364.128354,-4.176560490735721,1.63295960426331,j
2459367.134447,-6.8936969537864,1.81285178661346,j
2459367.854493,-9.78649645595257,1.64537727832794,j
2459368.1300939997,-9.9993053787804,1.7805002927780198,j
2459368.791576,-7.70908852018672,1.78494596481323,j
2459368.852732,18.4425774645333,3.69603705406189,apf
2459369.13066,-6.569100580605951,1.62772178649902,j
2459370.831744,10.7163620089816,3.44966769218445,apf
2459371.826104,9.79453462289184,3.6921389102935804,apf
2459373.757216,5.695709889284299,4.9624304771423295,apf
2459373.811811,-2.03219725716858,1.6490021944046,j
2459373.964797,-6.574869882532459,1.60412788391113,j
2459375.1313630003,-8.27314643665756,1.72120809555054,j
2459376.854613,-3.31190809138265,1.62956917285919,j
2459380.789013,5.04220297016606,5.18234872817993,apf
2459380.789013,5.04220297016606,5.18234872817993,apf
2459381.821557,0.14874913510728,4.05657482147217,apf
2459381.96056,-4.55126377239896,1.6549217700958299,j
2459382.801566,16.094797071242798,3.8984928131103502,apf
2459383.8239470003,16.8076761134189,4.3013191223144505,apf
2459383.99575,0.0122551923591132,1.70634341239929,j
2459384.818537,15.114696276167901,4.32271671295166,apf
2459384.88003,3.12998045567019,1.75472915172577,j
2459385.92433,4.7193906537379,1.58850312232971,j
2459386.857843,2.8017764040831,1.6732138395309402,j
2459387.8172110002,7.7749589823170995,5.12581777572632,apf
2459388.786857,3.4588757492047595,5.08901834487915,apf
2459388.894436,-1.51051599268293,1.69156634807587,j
2459389.866499,2.4304994359950296,3.7440638542175297,apf
2459389.9072849997,-7.531116070653349,1.7759943008422898,j
2459390.819048,15.325108639287,3.78901195526123,apf
2459391.819616,15.995420721855199,4.34454488754272,apf
2459392.826676,15.966346520829502,3.99551224708557,apf
2459393.7868959997,17.1299964473733,4.07225704193115,apf
2459394.793213,12.543593033399198,4.15243244171143,apf
2459395.811462,9.68042113639218,3.77924084663391,apf
2459396.870763,12.424794190511198,3.48072052001953,apf
2459397.81245,10.1396902282956,3.26288104057312,apf
2459398.0015189997,-0.048381261156635005,1.6249928474426298,j
2459398.8477330003,2.95762277466551,3.36261963844299,apf
2459399.806409,3.30778772108944,3.77781510353088,apf
2459399.893548,2.7300248817945496,1.60037755966187,j
